,w/c_ratio,fiber,concentration,specific_mass,elastic_modulus,fiber_tensile_strength,toughness_factor
164,0.4,6,1.91,2.75,95.0,3300,6.225
165,0.37,6,1.57,2.75,95.0,3300,5.448
166,0.38,6,1.84,2.75,95.0,3300,4.834
167,0.61,1,0.29,7.85,210.0,1000,5.814
168,0.38,6,1.84,2.75,95.0,3300,4.834
169,0.66,1,0.56,7.85,210.0,1000,5.289
170,0.66,1,0.62,7.85,210.0,1000,5.566
171,0.66,2,0.56,0.91,7.0,550,5.142
172,0.61,1,1.37,7.85,210.0,1000,5.766
173,0.62,1,0.64,7.85,210.0,1000,5.192
174,0.33,6,1.49,2.75,95.0,3300,4.918
175,0.43,6,1.34,2.75,95.0,3300,5.071
176,0.4,6,1.75,2.75,95.0,3300,5.787
177,0.44,1,0.9,7.85,210.0,1000,5.313
178,0.29,6,1.85,2.75,95.0,3300,5.751
179,0.66,1,1.03,7.85,210.0,1000,6.021
180,0.4,1,1.16,7.85,210.0,1000,5.902
181,0.5,2,0.88,0.91,7.0,550,5.026
182,0.46,1,0.54,7.85,210.0,1000,4.933
183,0.63,1,1.2,7.85,210.0,1000,6.947
184,0.33,6,1.49,2.75,95.0,3300,5.614
185,0.61,1,1.3,7.85,210.0,1000,6.717
186,0.39,6,1.58,2.75,95.0,3300,5.484
187,0.39,6,1.58,2.75,95.0,3300,5.484
188,0.54,1,0.99,7.85,210.0,1000,5.484
189,0.62,1,0.64,7.85,210.0,1000,5.192
190,0.62,6,1.25,2.75,95.0,3300,4.853
191,0.39,6,1.58,2.75,95.0,3300,5.484
192,0.42,1,1.28,7.85,210.0,1000,5.649
193,0.41,6,0.92,2.75,95.0,3300,5.433
194,0.66,1,0.67,7.85,210.0,1000,5.691
195,0.66,2,0.81,0.91,7.0,550,4.898
196,0.66,2,0.56,0.91,7.0,550,5.142
197,0.37,1,0.92,7.85,210.0,1000,4.929
198,0.66,2,0.45,0.91,7.0,550,4.977
199,0.66,1,1.61,7.85,210.0,1000,4.944
200,0.6,1,0.77,7.85,210.0,1000,5.488
201,0.66,1,1.61,7.85,210.0,1000,4.944
202,0.65,1,0.83,7.85,210.0,1000,5.074
203,0.39,6,1.29,2.75,95.0,3300,5.521
204,0.53,1,1.0,7.85,210.0,1000,5.929
205,0.55,6,1.32,2.75,95.0,3300,6.146
206,0.61,2,0.35,0.91,7.0,550,4.924
207,0.66,1,1.61,7.85,210.0,1000,4.944
208,0.66,1,0.46,7.85,210.0,1000,4.967
209,0.58,2,0.76,0.91,7.0,550,4.886
210,0.29,6,1.74,2.75,95.0,3300,5.785
211,0.37,6,1.63,2.75,95.0,3300,5.005
212,0.33,6,1.32,2.75,95.0,3300,4.947
213,0.63,1,1.51,7.85,210.0,1000,6.332
214,0.54,2,0.34,0.91,7.0,550,4.972
215,0.33,6,1.31,2.75,95.0,3300,4.978
216,0.54,2,0.34,0.91,7.0,550,4.972
217,0.41,6,1.89,2.75,95.0,3300,4.895
218,0.44,6,1.39,2.75,95.0,3300,5.574
219,0.36,6,1.77,2.75,95.0,3300,5.081
220,0.4,1,1.16,7.85,210.0,1000,5.902
221,0.6,7,1.34,1.3,39.0,1600,5.299
222,0.44,6,1.39,2.75,95.0,3300,5.574
223,0.63,1,1.51,7.85,210.0,1000,6.332
224,0.4,6,1.75,2.75,95.0,3300,5.787
225,0.45,6,1.99,2.75,95.0,3300,6.523
226,0.66,1,0.67,7.85,210.0,1000,5.691
227,0.63,1,0.65,7.85,210.0,1000,5.0
228,0.66,1,0.97,7.85,210.0,1000,5.095
229,0.66,1,0.46,7.85,210.0,1000,4.967
230,0.48,1,0.64,7.85,210.0,1000,5.869
231,0.3,6,1.87,2.75,95.0,3300,6.493
232,0.66,1,1.28,7.85,210.0,1000,5.693
233,0.64,2,0.84,0.91,7.0,550,4.841
234,0.63,1,0.91,7.85,210.0,1000,6.104
235,0.62,2,0.61,0.91,7.0,550,5.422
236,0.65,1,0.62,7.85,210.0,1000,5.677
237,0.43,6,1.34,2.75,95.0,3300,5.071
238,0.34,5,0.99,1.34,2.0,450,4.992
239,0.63,1,0.96,7.85,210.0,1000,5.638
240,0.59,6,1.67,2.75,95.0,3300,5.991
241,0.38,6,1.84,2.75,95.0,3300,4.834
242,0.39,6,1.58,2.75,95.0,3300,5.484
243,0.37,7,1.27,1.3,39.0,1600,4.924
244,0.62,1,0.96,7.85,210.0,1000,6.704
245,0.59,6,1.67,2.75,95.0,3300,5.991
246,0.64,1,1.11,7.85,210.0,1000,5.581
247,0.57,3,0.6,0.91,3.5,500,4.879
248,0.6,7,1.34,1.3,39.0,1600,5.299
249,0.49,6,1.95,2.75,95.0,3300,5.385
250,0.62,1,0.87,7.85,210.0,1000,5.05
251,0.38,1,1.42,7.85,210.0,1000,6.883
252,0.29,6,1.74,2.75,95.0,3300,5.785
253,0.33,6,1.31,2.75,95.0,3300,4.978
254,0.5,1,1.01,7.85,210.0,1000,6.342
255,0.62,1,0.96,7.85,210.0,1000,6.704
256,0.3,6,1.68,2.75,95.0,3300,5.277
257,0.32,6,1.39,2.75,95.0,3300,5.506
258,0.32,6,2.0,2.75,95.0,3300,5.269
259,0.64,1,1.88,7.85,210.0,1000,7.436
260,0.61,1,1.37,7.85,210.0,1000,5.766
261,0.62,1,0.64,7.85,210.0,1000,5.192
262,0.61,6,1.59,2.75,95.0,3300,4.84
263,0.37,1,0.92,7.85,210.0,1000,4.929
264,0.62,1,1.05,7.85,210.0,1000,4.945
265,0.64,2,0.45,0.91,7.0,550,5.929
266,0.64,1,0.95,7.85,210.0,1000,6.212
267,0.66,1,0.97,7.85,210.0,1000,5.095
268,0.3,6,1.68,2.75,95.0,3300,5.277
269,0.64,1,1.11,7.85,210.0,1000,5.581
270,0.51,1,0.61,7.85,210.0,1000,5.375
271,0.46,6,1.31,2.75,95.0,3300,5.557
272,0.48,1,0.64,7.85,210.0,1000,5.869
273,0.65,1,1.22,7.85,210.0,1000,5.578
274,0.62,2,0.61,0.91,7.0,550,5.422
275,0.61,2,0.35,0.91,7.0,550,4.924
276,0.66,1,0.56,7.85,210.0,1000,5.289
277,0.59,6,1.67,2.75,95.0,3300,5.991
278,0.6,2,0.46,0.91,7.0,550,4.878
279,0.6,1,0.77,7.85,210.0,1000,5.488
280,0.46,6,1.31,2.75,95.0,3300,5.557
281,0.33,6,1.31,2.75,95.0,3300,4.978
282,0.34,6,1.88,2.75,95.0,3300,6.014
283,0.57,3,0.6,0.91,3.5,500,4.879
284,0.55,6,1.32,2.75,95.0,3300,6.146
285,0.61,1,0.91,7.85,210.0,1000,6.096
286,0.57,3,0.6,0.91,3.5,500,4.879
287,0.64,2,0.45,0.91,7.0,550,5.929
288,0.31,6,1.52,2.75,95.0,3300,5.118
289,0.62,2,0.57,0.91,7.0,550,5.258
290,0.51,1,1.22,7.85,210.0,1000,5.964
291,0.62,2,0.57,0.91,7.0,550,5.258
292,0.66,1,0.67,7.85,210.0,1000,5.691
293,0.32,6,2.0,2.75,95.0,3300,5.269
294,0.57,1,0.46,7.85,210.0,1000,5.285
295,0.5,1,0.87,7.85,210.0,1000,4.801
296,0.52,6,0.91,2.75,95.0,3300,4.993
297,0.5,2,0.88,0.91,7.0,550,5.026
298,0.5,1,0.87,7.85,210.0,1000,4.801
299,0.38,6,1.84,2.75,95.0,3300,4.834
300,0.29,6,1.38,2.75,95.0,3300,5.02
301,0.3,7,1.31,1.3,39.0,1600,4.863
302,0.52,7,0.83,1.3,39.0,1600,4.783
303,0.64,1,1.88,7.85,210.0,1000,7.436
304,0.29,6,1.85,2.75,95.0,3300,5.751
305,0.58,1,1.2,7.85,210.0,1000,6.323
306,0.53,1,0.97,7.85,210.0,1000,5.027
307,0.63,1,1.87,7.85,210.0,1000,6.504
308,0.61,1,0.91,7.85,210.0,1000,6.096
309,0.58,1,1.2,7.85,210.0,1000,6.323
310,0.6,1,0.97,7.85,210.0,1000,5.364
311,0.58,2,0.76,0.91,7.0,550,4.886
312,0.66,1,0.46,7.85,210.0,1000,4.967
313,0.62,6,1.25,2.75,95.0,3300,4.853
314,0.31,6,1.52,2.75,95.0,3300,5.118
315,0.56,1,0.75,7.85,210.0,1000,6.257
316,0.66,1,1.61,7.85,210.0,1000,4.944
317,0.53,6,1.56,2.75,95.0,3300,5.672
318,0.66,1,0.64,7.85,210.0,1000,5.503
319,0.61,6,1.59,2.75,95.0,3300,4.84
320,0.54,3,1.09,0.91,3.5,500,5.482
321,0.62,6,1.25,2.75,95.0,3300,4.853
322,0.39,6,1.58,2.75,95.0,3300,5.484
323,0.66,2,0.56,0.91,7.0,550,5.142
324,0.44,6,1.53,2.75,95.0,3300,5.898
325,0.54,1,0.99,7.85,210.0,1000,5.484
326,0.32,6,2.0,2.75,95.0,3300,5.269
327,0.66,1,1.37,7.85,210.0,1000,5.767
328,0.5,1,0.58,7.85,210.0,1000,4.917
329,0.31,6,1.38,2.75,95.0,3300,5.376
330,0.5,2,0.88,0.91,7.0,550,5.026
331,0.41,9,1.15,1.14,3.15,550,5.138
332,0.61,1,0.91,7.85,210.0,1000,6.096
333,0.62,1,1.05,7.85,210.0,1000,4.945
334,0.53,6,1.56,2.75,95.0,3300,5.672
335,0.64,1,1.11,7.85,210.0,1000,5.581
336,0.64,1,0.95,7.85,210.0,1000,6.212
337,0.63,1,0.96,7.85,210.0,1000,5.638
338,0.5,6,1.66,2.75,95.0,3300,4.862
339,0.61,1,0.91,7.85,210.0,1000,6.096
340,0.29,6,1.74,2.75,95.0,3300,5.785
341,0.37,1,0.92,7.85,210.0,1000,4.929
342,0.38,6,1.84,2.75,95.0,3300,4.834
343,0.37,1,0.92,7.85,210.0,1000,4.929
344,0.59,6,1.67,2.75,95.0,3300,5.991
345,0.41,7,1.7,1.3,39.0,1600,4.841
346,0.57,3,0.6,0.91,3.5,500,4.879
347,0.66,2,0.56,0.91,7.0,550,5.142
348,0.61,2,0.35,0.91,7.0,550,4.924
349,0.29,6,1.85,2.75,95.0,3300,5.751
350,0.43,6,1.34,2.75,95.0,3300,5.071
351,0.3,1,1.54,7.85,210.0,1000,5.639
352,0.64,1,0.95,7.85,210.0,1000,6.212
353,0.63,1,0.72,7.85,210.0,1000,4.911
354,0.37,1,0.92,7.85,210.0,1000,4.929
355,0.5,6,1.66,2.75,95.0,3300,4.862
356,0.29,6,1.85,2.75,95.0,3300,5.751
357,0.33,2,0.49,0.91,7.0,550,5.196
358,0.62,1,0.96,7.85,210.0,1000,6.704
359,0.44,1,0.91,7.85,210.0,1000,4.993
360,0.66,1,0.56,7.85,210.0,1000,5.289
361,0.63,1,0.72,7.85,210.0,1000,4.911
362,0.46,1,0.54,7.85,210.0,1000,4.933
363,0.3,6,1.87,2.75,95.0,3300,6.493
364,0.36,6,1.77,2.75,95.0,3300,5.081
365,0.33,6,1.32,2.75,95.0,3300,4.947
366,0.56,1,0.75,7.85,210.0,1000,6.257
367,0.4,6,1.75,2.75,95.0,3300,5.787
368,0.56,1,0.53,7.85,210.0,1000,5.829
369,0.65,1,1.22,7.85,210.0,1000,5.578
370,0.33,2,0.49,0.91,7.0,550,5.196
371,0.32,6,1.61,2.75,95.0,3300,4.994
372,0.66,2,0.45,0.91,7.0,550,4.977
373,0.61,1,0.29,7.85,210.0,1000,5.814
374,0.56,1,0.75,7.85,210.0,1000,6.257
375,0.44,1,1.1,7.85,210.0,1000,6.159
376,0.3,6,1.68,2.75,95.0,3300,5.277
377,0.66,1,1.12,7.85,210.0,1000,5.45
378,0.52,6,0.91,2.75,95.0,3300,4.993
379,0.63,3,0.66,0.91,3.5,500,4.816
380,0.4,6,1.91,2.75,95.0,3300,6.225
381,0.66,2,0.56,0.91,7.0,550,5.142
382,0.66,1,0.62,7.85,210.0,1000,5.566
383,0.66,1,0.58,7.85,210.0,1000,4.996
384,0.35,6,1.15,2.75,95.0,3300,5.528
385,0.66,2,0.45,0.91,7.0,550,4.977
386,0.39,6,1.58,2.75,95.0,3300,5.484
387,0.63,3,0.66,0.91,3.5,500,4.816
388,0.46,6,1.79,2.75,95.0,3300,5.277
389,0.66,2,0.81,0.91,7.0,550,4.898
390,0.38,6,1.84,2.75,95.0,3300,4.834
391,0.37,7,1.27,1.3,39.0,1600,4.924
392,0.61,1,1.37,7.85,210.0,1000,5.766
393,0.3,1,1.54,7.85,210.0,1000,5.639
394,0.34,6,1.88,2.75,95.0,3300,6.014
395,0.62,1,0.96,7.85,210.0,1000,6.704
396,0.66,1,1.03,7.85,210.0,1000,6.021
397,0.34,5,0.99,1.34,2.0,450,4.992
398,0.63,1,1.18,7.85,210.0,1000,5.613
399,0.59,6,1.67,2.75,95.0,3300,5.991
400,0.52,1,1.44,7.85,210.0,1000,5.697
401,0.66,1,1.22,7.85,210.0,1000,5.687
402,0.4,6,1.75,2.75,95.0,3300,5.787
403,0.66,1,0.46,7.85,210.0,1000,4.967
404,0.52,1,1.44,7.85,210.0,1000,5.697
405,0.63,1,1.18,7.85,210.0,1000,5.613
406,0.33,6,1.31,2.75,95.0,3300,4.978
407,0.32,6,2.0,2.75,95.0,3300,5.269
408,0.33,2,0.49,0.91,7.0,550,5.196
409,0.31,1,1.73,7.85,210.0,1000,6.727
410,0.66,1,1.61,7.85,210.0,1000,4.944
411,0.66,1,0.64,7.85,210.0,1000,5.503
412,0.32,6,2.0,2.75,95.0,3300,5.269
413,0.58,1,1.2,7.85,210.0,1000,6.323
414,0.65,1,0.62,7.85,210.0,1000,5.677
415,0.55,6,1.32,2.75,95.0,3300,6.146
416,0.35,6,1.15,2.75,95.0,3300,5.528
417,0.66,1,0.62,7.85,210.0,1000,5.566
418,0.57,1,0.46,7.85,210.0,1000,5.285
419,0.37,7,1.27,1.3,39.0,1600,4.924
420,0.61,1,0.91,7.85,210.0,1000,6.096
421,0.65,1,0.62,7.85,210.0,1000,5.677
422,0.66,2,0.45,0.91,7.0,550,4.977
423,0.66,2,0.45,0.91,7.0,550,4.977
424,0.51,1,1.22,7.85,210.0,1000,5.964
425,0.34,6,1.88,2.75,95.0,3300,6.014
426,0.62,1,0.64,7.85,210.0,1000,5.192
427,0.29,6,1.74,2.75,95.0,3300,5.785
428,0.51,1,0.61,7.85,210.0,1000,5.375
429,0.6,1,0.77,7.85,210.0,1000,5.488
430,0.66,1,0.67,7.85,210.0,1000,5.691
431,0.61,1,0.91,7.85,210.0,1000,6.096
432,0.44,6,1.53,2.75,95.0,3300,5.898
433,0.62,8,0.55,0.98,5.0,570,5.098
434,0.62,2,0.61,0.91,7.0,550,5.422
435,0.64,1,1.88,7.85,210.0,1000,7.436
436,0.41,7,1.7,1.3,39.0,1600,4.841
437,0.44,1,0.9,7.85,210.0,1000,5.313
438,0.62,8,0.55,0.98,5.0,570,5.098
439,0.62,1,0.96,7.85,210.0,1000,6.704
440,0.62,2,0.57,0.91,7.0,550,5.258
441,0.3,2,0.47,0.91,7.0,550,5.047
442,0.3,6,1.68,2.75,95.0,3300,5.277
443,0.29,6,1.38,2.75,95.0,3300,5.02
444,0.65,1,1.22,7.85,210.0,1000,5.578
445,0.45,6,1.99,2.75,95.0,3300,6.523
446,0.5,1,0.6,7.85,210.0,1000,5.254
447,0.63,1,1.2,7.85,210.0,1000,5.761
448,0.62,2,0.57,0.91,7.0,550,5.258
449,0.64,1,1.88,7.85,210.0,1000,7.436
450,0.38,1,1.42,7.85,210.0,1000,6.883
451,0.32,6,2.0,2.75,95.0,3300,5.269
452,0.44,6,1.39,2.75,95.0,3300,5.574
453,0.3,6,1.87,2.75,95.0,3300,6.493
454,0.54,1,1.09,7.85,210.0,1000,5.04
455,0.44,1,0.9,7.85,210.0,1000,5.313
456,0.54,3,1.09,0.91,3.5,500,5.482
457,0.51,1,0.61,7.85,210.0,1000,5.375
458,0.29,6,1.85,2.75,95.0,3300,5.751
459,0.38,1,1.42,7.85,210.0,1000,6.883
460,0.63,1,1.18,7.85,210.0,1000,5.613
461,0.32,6,1.43,2.75,95.0,3300,5.201
462,0.38,6,1.84,2.75,95.0,3300,4.834
463,0.61,1,0.91,7.85,210.0,1000,6.096
464,0.33,6,1.49,2.75,95.0,3300,5.614
465,0.44,1,0.91,7.85,210.0,1000,4.993
466,0.32,6,1.39,2.75,95.0,3300,5.506
467,0.4,6,1.75,2.75,95.0,3300,5.787
468,0.29,6,1.85,2.75,95.0,3300,5.751
469,0.54,3,1.09,0.91,3.5,500,5.482
470,0.3,6,1.71,2.75,95.0,3300,5.251
471,0.44,1,1.1,7.85,210.0,1000,6.159
472,0.47,6,1.73,2.75,95.0,3300,5.467
473,0.6,1,0.77,7.85,210.0,1000,5.488
474,0.44,1,0.9,7.85,210.0,1000,5.313
475,0.53,6,1.56,2.75,95.0,3300,5.672
476,0.29,6,1.74,2.75,95.0,3300,5.785
477,0.32,6,1.61,2.75,95.0,3300,4.994
478,0.46,6,1.31,2.75,95.0,3300,5.557
479,0.56,1,0.7,7.85,210.0,1000,4.933
480,0.52,1,1.44,7.85,210.0,1000,5.697
481,0.63,1,1.51,7.85,210.0,1000,6.332
482,0.66,1,0.62,7.85,210.0,1000,5.566
483,0.5,1,1.01,7.85,210.0,1000,6.342
484,0.52,1,1.44,7.85,210.0,1000,5.697
485,0.6,1,0.97,7.85,210.0,1000,5.364
486,0.61,1,1.3,7.85,210.0,1000,6.717
487,0.61,1,0.29,7.85,210.0,1000,5.814
488,0.4,6,1.91,2.75,95.0,3300,6.225
489,0.64,2,0.84,0.91,7.0,550,4.841
490,0.44,1,0.91,7.85,210.0,1000,4.993
491,0.5,2,0.88,0.91,7.0,550,5.026
492,0.6,1,0.97,7.85,210.0,1000,5.364
493,0.45,6,1.99,2.75,95.0,3300,6.523
494,0.3,6,1.87,2.75,95.0,3300,6.493
495,0.66,1,1.28,7.85,210.0,1000,5.693
496,0.59,6,1.67,2.75,95.0,3300,5.991
497,0.51,1,0.61,7.85,210.0,1000,5.375
498,0.63,1,0.91,7.85,210.0,1000,6.104
499,0.66,1,0.46,7.85,210.0,1000,4.967
500,0.66,1,0.58,7.85,210.0,1000,4.996
501,0.57,1,0.46,7.85,210.0,1000,5.285
502,0.44,1,0.9,7.85,210.0,1000,5.313
503,0.3,6,1.87,2.75,95.0,3300,6.493
504,0.63,1,1.51,7.85,210.0,1000,6.332
505,0.32,6,1.39,2.75,95.0,3300,5.506
506,0.63,3,0.66,0.91,3.5,500,4.816
507,0.38,6,1.26,2.75,95.0,3300,6.283
508,0.53,6,1.56,2.75,95.0,3300,5.672
509,0.58,1,1.2,7.85,210.0,1000,6.323
510,0.52,2,0.58,0.91,7.0,550,5.115
511,0.54,2,0.34,0.91,7.0,550,4.972
512,0.61,6,1.59,2.75,95.0,3300,4.84
513,0.66,1,0.64,7.85,210.0,1000,5.503
514,0.57,1,0.46,7.85,210.0,1000,5.285
515,0.62,1,0.96,7.85,210.0,1000,6.704
516,0.62,2,0.57,0.91,7.0,550,5.258
